Year,income,expenditure
1950,6284,5820
1951,6390,5843
1952,6476,5917
1953,6640,6054
1954,6628,6099
1955,6879,6365
1956,7080,6440
1957,7114,6465
1958,7113,6449
1959,7256,6658
1960,7264,6698
1961,7382,6740
1962,7583,6931
1963,7718,7089
1964,8140,7384
1965,8508,7703
1966,8822,8005
1967,9114,8163
1968,9399,8506
1969,9606,8737
1970,9875,8842
1971,10111,9022
1972,10414,9425
1973,11013,9752
1974,10832,9602
1975,10906,9711
1976,11192,10121
1977,11406,10425
1978,11851,10744
1979,12039,10876
1980,12005,10746
1981,12156,10770
1982,12146,10782
1983,12349,11179
1984,13029,11617
1985,13258,12015
1986,13552,12336
1987,13545,12568
1988,13890,12903
1989,14005,13029
1990,14101,13093
1991,14003,12899
1992,14279,13110
1993,14341,13391
